TotalUnits,ActiveSubs,Latitude,Longitude,OwnerType
35,1,39.28523,-76.64363,Non-Profit
20,1,39.28545,-76.59439,Non-Profit
110,3,39.28585,-76.63044,Multiple
20,1,39.28637,-76.63,Non-Profit
46,1,39.28641,-76.63292,For Profit
106,0,39.28658,-76.62216,Non-Profit
60,1,39.28681,-76.65232,For Profit
27,1,39.28683,-76.65792,For Profit
84,2,39.28736,-76.64518,Non-Profit
8,0,39.28757,-76.65351,Non-Profit
15,0,39.28781,-76.71126,Non-Profit
89,0,39.28797,-76.65157,Non-Profit
30,1,39.2881,-76.64593,Non-Profit
30,1,39.28828,-76.64597,Non-Profit
29,2,39.28828,-76.64597,Non-Profit
30,0,39.28828,-76.64597,For Profit
12,0,39.28865,-76.63826,Non-Profit
124,1,39.28869,-76.59978,For Profit
124,0,39.28916,-76.59955,For Profit
72,3,39.28956,-76.64128,For Profit
209,1,39.28987,-76.63752,Multiple
111,3,39.2899,-76.63116,Multiple
130,2,39.29038,-76.59395,Non-Profit
20,0,39.29051,-76.61399,Non-Profit
54,0,39.29062,-76.54449,Non-Profit
123,3,39.29067,-76.63165,For Profit
74,0,39.29078,-76.56354,For Profit
65,2,39.29125,-76.64388,For Profit
1,0,39.2915,-76.58973,Non-Profit
100,1,39.29177,-76.61528,For Profit
60,2,39.29189,-76.71044,Non-Profit
20,0,39.29252,-76.579,For Profit
88,2,39.29254,-76.62986,For Profit
203,0,39.29267,-76.63121,For Profit
51,0,39.29308,-76.53533,Non-Profit
132,0,39.29316,-76.59718,For Profit
203,2,39.29327,-76.62783,For Profit
108,0,39.29401,-76.70407,Non-Profit
108,1,39.29407,-76.70415,For Profit
150,0,39.29413,-76.58922,For Profit
8,0,39.29441,-76.62113,For Profit
75,1,39.29451,-76.6326,For Profit
198,1,39.29482,-76.6249,For Profit
16,0,39.29493,-76.58499,For Profit
38,2,39.29497,-76.62191,For Profit
201,2,39.29516,-76.61728,Non-Profit
29,1,39.29526,-76.61501,Non-Profit
282,1,39.29537,-76.61565,Non-Profit
74,1,39.29537,-76.64067,For Profit
49,1,39.29543,-76.62449,Multiple
58,1,39.29604,-76.62143,For Profit
12,0,39.29611,-76.63582,For Profit
180,2,39.29612,-76.62469,For Profit
